scenario,component_type,component_index,component_name,eta_i,eta_j,observed_diag_i,observed_diag_j,observed_offdiag,reported_diag_i,reported_diag_j,reported_offdiag,status,maximum_underestimate_ratio
quadratic_chain,module,3,QuadraticWell,0.7269127922982315,,0.6433324490047599,,,0.6433324490047159,,,covered,1.0000000000000686
quadratic_chain,module,4,QuadraticWell,0.07473751878048414,,0.8815912549978798,,,0.8815912549960212,,,covered,1.0000000000021083
quadratic_chain,module,5,QuadraticWell,0.858805053240962,,1.2080894444043724,,,1.2080894444044474,,,covered,0.9999999999999378
quadratic_chain,module,6,QuadraticWell,0.5483139994716928,,1.6555065597687448,,,1.6555065597696212,,,covered,0.9999999999994706
quadratic_chain,module,7,QuadraticWell,0.22835772271180316,,2.268625044385915,,,2.268625044390925,,,covered,0.9999999999977918
quadratic_chain,module,8,QuadraticWell,0.940766390102131,,3.1088125635267345,,,3.1088125635418384,,,covered,0.9999999999951416
quadratic_chain,module,9,QuadraticWell,0.023357514778233543,,4.260164357772385,,,4.260164357759851,,,covered,1.000000000002942
quadratic_chain,module,10,QuadraticWell,0.3815848852695231,,5.837920422729616,,,5.8379204227257855,,,covered,1.0000000000006561
quadratic_chain,module,11,QuadraticWell,0.3491298943888455,,8.0,,,8.0,,,covered,1.0
quadratic_chain,coupling,0,QuadraticCoupling,0.3805214568983474,0.7369855953545984,0.3,0.29999999999958366,0.2999999999997918,0.3,0.3,0.3,covered,1.0
quadratic_chain,coupling,1,QuadraticCoupling,0.7369855953545984,0.7392103736073835,0.35999999999999915,0.35999999999999915,0.35999999999999915,0.36,0.36,0.36,covered,0.9999999999999977
quadratic_chain,coupling,2,QuadraticCoupling,0.7392103736073835,0.7269127922982315,0.4200000000000243,0.4200000000000243,0.4200000000000243,0.42,0.42,0.42,covered,1.000000000000058
quadratic_chain,coupling,3,QuadraticCoupling,0.7269127922982315,0.07473751878048414,0.29999999999888977,0.3000000000004163,0.29999999999965304,0.3,0.3,0.3,covered,1.0000000000013878
quadratic_chain,coupling,4,QuadraticCoupling,0.07473751878048414,0.858805053240962,0.35999999999938936,0.3599999999981126,0.359999999998751,0.36,0.36,0.36,covered,0.9999999999983038
quadratic_chain,coupling,5,QuadraticCoupling,0.858805053240962,0.5483139994716928,0.420000000000111,0.420000000000111,0.420000000000111,0.42,0.42,0.42,covered,1.0000000000002642
quadratic_chain,coupling,6,QuadraticCoupling,0.5483139994716928,0.22835772271180316,0.30000000000027754,0.3,0.30000000000013877,0.3,0.3,0.3,covered,1.0000000000009253
quadratic_chain,coupling,7,QuadraticCoupling,0.22835772271180316,0.940766390102131,0.3600000000016653,0.36000000000088817,0.36000000000127674,0.36,0.36,0.36,covered,1.0000000000046259
quadratic_chain,coupling,8,QuadraticCoupling,0.940766390102131,0.023357514778233543,0.420000000000111,0.42000000000099225,0.4200000000005516,0.42,0.42,0.42,covered,1.0000000000023626
